Name,Sex,Age,Height,Weight,Team,Event,Medal
Anders Bardal,M,31.0,186.0,60.0,Norway,"Ski Jumping Men's Normal Hill, Individual",Bronze
Thomas Diethart,M,21.0,172.0,60.0,Austria,"Ski Jumping Men's Large Hill, Team",Silver
Severin Freund,M,25.0,185.0,67.0,Germany,"Ski Jumping Men's Large Hill, Team",Gold
Michael Haybck,M,22.0,182.0,65.0,Austria,"Ski Jumping Men's Large Hill, Team",Silver
Daniela Iraschko-Stolz,F,30.0,164.0,52.0,Austria,"Ski Jumping Women's Normal Hill, Individual",Silver
Daiki Ito,M,28.0,172.0,57.0,Japan,"Ski Jumping Men's Large Hill, Team",Bronze
Noriaki Kasai,M,41.0,176.0,60.0,Japan,"Ski Jumping Men's Large Hill, Individual",Silver
Noriaki Kasai,M,41.0,176.0,60.0,Japan,"Ski Jumping Men's Large Hill, Team",Bronze
Marinus Kraus,M,22.0,173.0,59.0,Germany,"Ski Jumping Men's Large Hill, Team",Gold
Coline Mattel,F,18.0,165.0,57.0,France,"Ski Jumping Women's Normal Hill, Individual",Bronze
Thomas Morgenstern,M,27.0,184.0,67.0,Austria,"Ski Jumping Men's Large Hill, Team",Silver
Peter Prevc,M,21.0,169.0,56.0,Slovenia,"Ski Jumping Men's Normal Hill, Individual",Silver
Peter Prevc,M,21.0,169.0,56.0,Slovenia,"Ski Jumping Men's Large Hill, Individual",Bronze
Gregor Schlierenzauer,M,24.0,182.0,64.0,Austria,"Ski Jumping Men's Large Hill, Team",Silver
Reruhi Shimizu,M,20.0,172.0,59.0,Japan,"Ski Jumping Men's Large Hill, Team",Bronze
Kamil Wiktor Stoch,M,26.0,173.0,53.0,Poland,"Ski Jumping Men's Normal Hill, Individual",Gold
Kamil Wiktor Stoch,M,26.0,173.0,53.0,Poland,"Ski Jumping Men's Large Hill, Individual",Gold
Taku Takeuchi,M,26.0,175.0,61.0,Japan,"Ski Jumping Men's Large Hill, Team",Bronze
Carina Vogt,F,22.0,171.0,62.0,Germany,"Ski Jumping Women's Normal Hill, Individual",Gold
Andreas Wank,M,25.0,189.0,72.0,Germany,"Ski Jumping Men's Large Hill, Team",Gold
Andreas Wellinger,M,18.0,183.0,65.0,Germany,"Ski Jumping Men's Large Hill, Team",Gold
